Price,Miles
17321,43000
16808,50000
16000,60000
15600,65000
15274,70000
21590,29000
14434,97000
18995,37199
14991,111057
16815,92003
14744,107516
18491,43993
21497,38001
18073,65509
20674,21473
22999,36602
18195,32453
19226,53983
18500,27453
16995,78292
21494,37425
19888,66022
20509,28634
20291,33124
16850,81053
16995,44728
18999,24999
21878,19425
17499,109209
19987,43866
18991,52582
19095,43834
23183,32365
23995,25288
17237,91017
18500,27425
21497,38001
17399,56410
19988,58370
21536,30471
20988,62659
21410,26665
17995,85503
20998,49037
20388,43899
17171,70871
14899,101330
20000,18000
24000,10
23990,15
24544,5
16000,92243
12980,"134,865"
17995,78344
16999,100365
9999,190016
8999,187278
8998,186414
7604,174967
8988,165979
7950,139878
12571,135754
12500,112173
9995,104413
11995,98271
13995,93347
26451,1427
26588,1916
26649,9298
24990,9859
25888,13164
21999,15109